Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
160,128,122,182,6.4,824,879,28,3.939.665.864
234,156,0,189,5.85,981,760,28,39.300.132
250,180,95,159,9.45,860,800,28,6.786.512.268
475,0,0,162,9.5,1044,662,28,58.522.722.879.999.900
285,190,0,163,7.6,1031,685,28,5.357.917.996
356,119,0,160,9.03,1061,657,28,5.899.846.132
275,180,120,162,10.35,830,765,28,7.623.536.132
500,0,0,151,9,1033,655,28,6.983.702.404
165,0.02,143.57,163.81,0,1005.6,900.9,3,1.439.625.888
165,128.5,132.1,175.06,8.08,1005.8,746.6,3,1.941.564.416
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,3,2.072.564.856
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,3,1.494.094.492
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,3,2.129.101.888
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,2.307.676.172
167,75.4,167,164.03,7.91,1007.3,770.1,3,15.520.104.759.999.900
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,1.581.657.944
190.34,0,125.18,166.61,9.88,1079,798.9,3,125.484.632
250,0,95.69,191.84,5.33,948.9,857.2,3,848.744.956
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,1.560.973.664
194.68,0,100.52,170.17,7.48,998,901.8,3,1.217.614.616
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,1.198.309.288
165,0.02,143.57,163.81,0,1005.6,900.9,14,1.687.837.248
165,128.5,132.1,175.06,8.08,1005.8,746.6,14,3.308.795.324
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,14,3.423.937.816
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,14,31.812.422.639.999.900
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,14,297.508.894
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,3.300.521.612
167,75.4,167,164.03,7.91,1007.3,770.1,14,3.290.179.472
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,14,2.955.094.136
190.34,0,125.18,166.61,9.88,1079,798.9,14,1.941.564.416
250,0,95.69,191.84,5.33,948.9,857.2,14,2.465.566.176
213.5,0,174.24,159.21,11.66,1043.6,771.9,14,29.592.309.919.999.900
194.68,0,100.52,170.17,7.48,998,901.8,14,2.428.334.472
251.37,0,118.27,192.94,5.75,1043.6,754.3,14,2.072.564.856
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200.088
165,128.5,132.1,175.06,8.08,1005.8,746.6,28,4.638.794.528
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28,391.622.368
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,28,4.120.308.576
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,3.368.779.736
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,28,3.820.386.516
167,75.4,167,164.03,7.91,1007.3,770.1,28,4.140.992.856
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,28,37.810.863.839.999.900
190.34,0,125.18,166.61,9.88,1079,798.9,28,2.484.871.504
250,0,95.69,191.84,5.33,948.9,857.2,28,2.722.051.248
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,4.463.667.624
194.68,0,100.52,170.17,7.48,998,901.8,28,372.661.778
251.37,0,118.27,192.94,5.75,1043.6,754.3,28,3.327.411.176
165,0.02,143.57,163.81,0,1005.6,900.9,56,3.656.291.228
165,128.5,132.1,175.06,8.08,1005.8,746.6,,5.372.396.992
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.587.373.719.999.900
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,5.172.448.952
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,56,35.852.751.999.999.900
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,56,5.377.223.324
167,75.4,167,164.03,7.91,1007.3,770.1,56,5.346.196.904
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,489.872.698
190.34,0,125.18,166.61,9.88,1079,798.9,56,31.715.896
250,0,95.69,191.84,5.33,948.9,857.2,,3.964.487
213.5,0,174.24,159.21,11.66,1043.6,771.9,56,5.125.564.584
194.68,0,100.52,170.17,7.48,998,901.8,56,43.388.724.679.999.900
251.37,0,118.27,192.94,5.75,1043.6,754.3,56,392.656.582
165,0.02,143.57,163.81,0,1005.6,900.9,100,379.556.538
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.020.184.799.999.900
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100,4.999.390.476
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,5.365.502.232
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,100,376.798.634
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,,56.061.293.559.999.900
167,75.4,167,164.03,7.91,1007.3,770.1,,568.128.224
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,100,5.093.848.688
190.34,0,125.18,166.61,9.88,1079,798.9,100,3.356.369.168
250,0,95.69,191.84,5.33,948.9,857.2,100,411.617.172
213.5,0,174.24,159.21,11.66,1043.6,771.9,100,5.295.865.156
194.68,0,100.52,170.17,7.48,998,901.8,100,4.427.814.872
251.37,0,118.27,192.94,5.75,1043.6,754.3,100,4.014.818.748
446,24,79,162,11.61,967,712,28,5.702.655.996
446,24,79,162,11.64,967,712,28,4.442.293.868
446,24,79,162,11.64,967,712,28,51.021.224
446,24,79,162,10.3,967,712,28,5.338.612.668
446,24,79,162,11.61,967,712,3,3.536.322.404
446,24,79,162,11.64,967,712,3,25.021.084.039.999.900
446,24,79,162,11.64,967,712,3,2.334.565.736
446,24,79,162,11.61,967,712,7,5.200.717.468
446,24,79,162,11.64,967,712,7,3.801.770.664
446,24,79,162,11.64,967,712,7,39.300.132
446,24,79,162,11.61,967,712,56,6.106.688.932
446,24,79,162,11.64,967,712,56,5.614.403.068
446,24,79,162,11.64,967,712,56,5.525.460.664
446,24,79,162,10.3,967,712,56,54.765.078.679.999.900
387,20,94,157,14.32,938,845,28,5.023.522.136
387,20,94,157,13.93,938,845,28,4.668.441.996
387,20,94,157,11.61,938,845,28,4.668.441.996
387,20,94,157,14.32,938,845,3,22.752.708
387,20,94,157,13.93,938,845,3,25.510.612
387,20,94,157,11.61,938,845,3,3.477.027.468
387,20,94,157,14.32,938,845,7,3.683.870.268
387,20,94,157,13.93,938,845,7,4.589.841.732
387,20,94,157,11.61,938,845,7,4.166.503.468
387,20,94,157,14.32,938,845,56,5.633.708.396
387,20,94,157,13.93,938,845,56,4.796.684.532
387,20,94,157,11.61,938,845,56,6.145.989.064
355,19,97,145,13.13,967,871,28,4.402.993.736
355,19,97,145,12.25,967,871,28,5.545.455.468
491,26,123,210,3.93,882,699,28,5.555.108.132
491,26,123,201,3.93,822,699,28,57.915.983.999.999.900
491,26,123,210,3.93,882,699,3,2.560.910.856.945.860
491,26,123,210,3.93,882,699,7,33.488.834.284.729.300
491,26,123,210,3.93,882,699,56,59.590.425.715.270.600
491,26,123,201,3.93,822,699,3,2.954.897.143.054.130
491,26,123,201,3.93,822,699,7,3.792.118
491,26,123,201,3.93,822,699,56,6.185.584.685.418.790
424,22,132,178,8.48,822,750,28,62.052.839.999.999.900
424,22,132,178,8.48,882,750,3,3.201.138.571.527.060
424,22,132,168,8.92,822,750,28,7.209.850.532
424,22,132,178,8.48,822,750,7,39.004.642.284.729.300
424,22,132,178,8.48,822,750,56,6.569.721.314.581.200
424,22,132,168,8.92,822,750,3,32.109.882.284.729.300
424,22,132,168,8.92,822,750,7,4.028.509.771.527.060
424,22,132,168,8.92,822,750,56,743.649.114.581.204
202,11,141,206,1.72,942,801,28,2.196.670.536
202,11,141,206,1.72,942,801,3,984.965.714.581.204
202,11,141,206,1.72,942,801,7,15.069.975.430.541.300
202,11,141,206,1.72,942,801,56,2.324.519.085.418.790
284,15,141,179,5.46,842,801,28,43.733.462.679.999.900
284,15,141,179,5.46,842,801,3,13.395.533.715.270.600
284,15,141,179,5.46,842,801,7,2.413.166
284,15,141,179,5.46,842,801,56,44.520.450.284.729.300
359,19,141,154,10.91,942,801,28,62.935.369.279.999.900
359,19,141,154,10.91,942,801,28,59.494.884.039.999.900
359,19,141,154,10.91,942,801,3,2.511.662.571.527.060
359,19,141,154,10.91,942,801,3,23.639.177.145.812.000
359,19,141,154,10.91,942,801,7,3.575.425.543.054.130
359,19,141,154,10.91,942,801,7,38.610.656
359,19,141,154,10.91,942,801,56,6.875.060.685.418.790
359,19,141,154,10.91,942,801,56,6.678.067.543.054.130
436,0,0,218,0,838.4,719.7,28,2.384.897.484
289,0,0,192,0,913.2,895.3,90,32.068.218.236
289,0,0,192,0,913.2,895.3,3,11.654.902.304
393,0,0,192,0,940.6,785.6,3,19.199.148.695.999.900
393,0,0,192,0,940.6,785.6,90,48.846.616.696
393,0,0,192,0,940.6,785.6,28,39.604.880.392
480,0,0,192,0,936.2,712.2,28,43.942.373.908
480,0,0,192,0,936.2,712.2,7,34.569.637.164
480,0,0,192,0,936.2,712.2,90,54.315.540.328
480,0,0,192,0,936.2,712.2,3,24.404.692.496
333,0,0,192,0,931.2,842.6,3,15.615.941.924
255,0,0,192,0,889.8,945,90,21.859.147.104
255,0,0,192,0,889.8,945,7,10.222.171.176
289,0,0,192,0,913.2,895.3,7,14.596.896.395.999.900
255,0,0,192,0,889.8,945,28,18.746.162.964
333,0,0,192,0,931.2,842.6,28,31.966.865.263.999.900
333,0,0,192,0,931.2,842.6,7,23.404.952.295.999.900
289,0,0,192,0,913.2,895.3,28,25.573.354.316
333,0,0,192,0,931.2,842.6,90,41.680.203.152
393,0,0,192,0,940.6,785.6,7,27.742.445.811.999.900
255,0,0,192,0,889.8,945,3,8.204.074.924
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.617.500.724.000.000
239.6,359.4,0,185.7,0,941.6,664.3,7,25.422.359.072
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.691.094.808
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.935.499.091.999.900
193.5,290.2,0,185.7,0,998.2,704.3,28,32.626.693.796.000.000
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.236.210.524
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.765.208.492
239.6,359.4,0,185.7,0,941.6,664.3,28,39.435.269.296
220.8,147.2,0,185.7,0,1055,744.3,28,25.745.033.839.999.900
397,0,0,185.7,0,1040.6,734.3,28,33.082.437.432
382.5,0,0,185.7,0,1047.8,739.3,7,24.065.470.304
210.7,316.1,0,185.7,0,977,689.3,7,21.819.846.971.999.900
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.066.249.704
295.8,0,0,185.7,0,1091.4,769.3,7,14.843.728.804
255.5,170.3,0,185.7,0,1026.6,724.3,28,32.051.670.812
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.957.582.268
397,0,0,185.7,0,1040.6,734.3,7,25.447.869.684
381.4,0,0,185.7,0,1104.6,784.3,28,22.489.328.168
295.8,0,0,185.7,0,1091.4,769.3,28,25.216.895.223.999.900
228,342.1,0,185.7,0,955.8,674.3,28,39.699.338.604
220.8,147.2,0,185.7,0,1055,744.3,7,13.089.012.384
316.1,210.7,0,185.7,0,977,689.3,28,3.870.028.788
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.507.014.687.999.990
238.1,0,0,185.7,0,1118.8,789.3,28,17.576.122.192
339.2,0,0,185.7,0,1069.2,754.3,7,21.179.323.768
135.7,203.5,0,185.7,0,1076.2,759.3,28,1.819.871.902
193.5,290.2,0,185.7,0,998.2,704.3,7,17.200.357.771.999.900
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.629.981.272
290.2,193.5,0,185.7,0,998.2,704.3,7,21.859.147.104
181.9,272.8,0,185.7,0,1012.4,714.3,7,1.237.264.682
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.726.417.988
210.7,316.1,0,185.7,0,977,689.3,28,37.813.621.743.999.900
228,342.1,0,185.7,0,955.8,674.3,7,21.917.063.088
290.2,193.5,0,185.7,0,998.2,704.3,28,330.431.373
381.4,0,0,185.7,0,1104.6,784.3,7,1.454.104.884
238.2,158.8,0,185.7,0,1040.6,734.3,28,2.691.369.566
186.2,124.1,0,185.7,0,1083.4,764.3,7,7.995.853.172
339.2,0,0,185.7,0,1069.2,754.3,28,31.899.986.092
238.1,0,0,185.7,0,1118.8,789.3,7,10.335.934.715.999.900
252.5,0,0,185.7,0,1111.6,784.3,28,19.765.208.492
382.5,0,0,185.7,0,1047.8,739.3,28,37.437.857.324
252.5,0,0,185.7,0,1111.6,784.3,7,11.483.912.255.999.900
316.1,210.7,0,185.7,0,977,689.3,7,24.437.787.344
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.596.806.471.999.900
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.730.314.988
272.8,181.9,0,185.7,0,1012.4,714.3,28,3.138.150.014
339,0,0,197,0,968,781,3,1.322.414.968
339,0,0,197,0,968,781,7,2.096.696.516
339,0,0,197,0,968,781,14,2.704.124.872
339,0,0,197,0,968,781,28,32.039.949.719.999.900
339,0,0,197,0,968,781,90,3.517.017.076
339,0,0,197,0,968,781,180,3.644.570.136
339,0,0,197,0,968,781,365,3.889.334.116
236,0,0,194,0,968,885,3,6.467.284.879.999.990
236,0,0,194,0,968,885,14,1.283.804.312
236,0,0,194,0,968,885,28,18.415.903.959.999.900
236,0,0,194,0,968,885,90,21.946.021.079.999.900
236,0,0,193,0,968,885,180,24.104.080.959.999.900
236,0,0,193,0,968,885,365,25.083.136.879.999.900
277,0,0,191,0,968,856,14,2.126.343.984
277,0,0,191,0,968,856,28,25.965.666.159.999.900
277,0,0,191,0,968,856,3,1.136.256.448
277,0,0,191,0,968,856,90,3.125.394.708
277,0,0,191,0,968,856,180,3.232.952.964
277,0,0,191,0,968,856,360,3.370.158.688
254,0,0,198,0,968,863,3,9.307.926
254,0,0,198,0,968,863,90,2.694.472.208
254,0,0,198,0,968,863,180,2.762.730.332
254,0,0,198,0,968,863,365,297.853.632
307,0,0,193,0,968,812,180,3.448.758.952
307,0,0,193,0,968,812,365,3.614.922.668
307,0,0,193,0,968,812,3,12.541.568.439.999.900
307,0,0,193,0,968,812,28,2.753.077.668
307,0,0,193,0,968,812,90,32.922.478.999.999.900
236,0,0,193,0,968,885,7,999.050.724
200,0,0,180,0,1125,845,7,78.393.421.199.999.900
200,0,0,180,0,1125,845,28,1.224.509.376
225,0,0,181,0,1113,833,7,11.169.511.199.999.900
225,0,0,181,0,1113,833,28,173.403.214
325,0,0,184,0,1063,783,7,1.754.026.944
325,0,0,184,0,1063,783,28,3.057.136.584
275,0,0,183,0,1088,808,7,142.032.056
275,0,0,183,0,1088,808,28,2.449.708.228
300,0,0,184,0,1075,795,7,15.575.262.839.999.900
300,0,0,184,0,1075,795,28,26.848.195.439.999.900
375,0,0,186,0,1038,758,7,260.621.928
375,0,0,186,0,1038,758,28,3.821.075.992
400,0,0,187,0,1025,745,28,4.369.898.888
400,0,0,187,0,1025,745,7,30.143.890.719.999.900
250,0,0,182,0,1100,820,7,1.273.462.172
250,0,0,182,0,1100,820,28,2.087.043.852
350,0,0,186,0,1050,770,7,2.027.748.916
350,0,0,186,0,1050,770,28,3.429.453.624
203.5,305.3,0,203.5,0,963.4,630,7,19.539.060.364
250.2,166.8,0,203.5,0,977.6,694.1,90,47.714.497.103.999.900
157,236,0,192,0,935.4,781.2,90,43.377.003.588
141.3,212,0,203.5,0,971.8,748.5,28,2.989.223.198
166.8,250.2,0,203.5,0,975.6,692.6,3,6.902.344.236
122.6,183.9,0,203.5,0,958.2,800.1,90,33.192.064.116.000.000
183.9,122.6,0,203.5,0,959.2,800,3,49.035.533.120.000.000
102,153,0,192,0,887,942,3,4.565.020.596
102,153,0,192,0,887,942,90,25.460.969.728.000.000
122.6,183.9,0,203.5,0,958.2,800.1,28,24.290.928.956
166.8,250.2,0,203.5,0,975.6,692.6,28,33.947.729.812
200,133,0,192,0,965.4,806.2,3,11.414.275.179.999.900
108.3,162.4,0,203.5,0,938.2,849,28,20.593.958.644
305.3,203.5,0,203.5,0,965.4,631,7,25.893.960.655.999.900
108.3,162.4,0,203.5,0,938.2,849,90,29.231.713.971.999.900
116,173,0,192,0,909.8,891.9,90,31.023.662.096.000.000
141.3,212,0,203.5,0,971.8,748.5,7,103.938.507
157,236,0,192,0,935.4,781.2,28,33.664.355.176
133,200,0,192,0,927.4,839.2,28,27.874.825.204
250.2,166.8,0,203.5,,977.6,694.1,7,1.935.014.394
173,116,0,192,0,946.8,856.8,7,11.392.211.948
192,288,0,192,0,929.8,716.1,3,12.788.400.847.999.900
192,288,0,192,0,929.8,716.1,28,39.321.505.756
153,102,0,192,0,888,943.1,3,4.782.205.536
288,192,0,192,0,932,717.8,3,1.610.960.674
305.3,203.5,0,203.5,0,965.4,631,28,43.377.003.588
236,157,0,192,0,972.6,749.1,7,20.416.073.836
173,116,0,192,0,946.8,856.8,3,6.940.954.892
212,141.3,0,203.5,0,973.4,750,7,15.030.576.799.999.900
236,157,0,192,0,972.6,749.1,3,13.565.440.299.999.900
183.9,122.6,0,203.5,0,959.2,800,90,3.253.292.506
166.8,250.2,0,203.5,0,975.6,692.6,7,15.748.321.315.999.900
102,153,0,192,0,887,942,7,7.675.936.308
288,192,0,192,0,932,717.8,28,38.804.398.756.000.000
212,141.3,0,203.5,,973.4,750,28,33.003.837.168
102,153,0,192,0,887,942,28,17.275.510.655.999.900
173,116,0,192,0,946.8,856.8,28,24.281.965.768
183.9,122.6,0,203.5,0,959.2,800,28,24.046.164.976
133,200,0,192,0,927.4,839.2,90,36.588.422.892
192,288,0,192,0,929.8,716.1,90,50.732.333.556
133,200,0,192,0,927.4,839.2,7,13.664.035.367.999.900
305.3,203.5,0,203.5,0,965.4,631,3,14.143.910.664
236,157,0,192,0,972.6,749.1,90,47.782.065.751.999.900
108.3,162.4,0,203.5,0,938.2,849,3,2.331.807.832
157,236,0,192,0,935.4,781.2,7,16.889.404.096
288,192,0,192,0,932,717.8,7,23.523.542.168
212,141.3,0,203.5,,973.4,750,3,68.085.755
212,141.3,0,203.5,0,973.4,750,90,39.700.028.079.999.900
153,102,0,192,0,888,943.1,28,1.796.429.718
236,157,0,192,0,972.6,749.1,28,3.288.455.782
116,173,0,192,0,909.8,891.9,28,22.347.985.588
183.9,122.6,0,203.5,0,959.2,800,7,10.787.541.496
108.3,162.4,0,203.5,0,938.2,849,7,7.723.510.152
203.5,305.3,0,203.5,0,963.4,630,28,41.684.340.008
203.5,305.3,0,203.5,0,963.4,630,3,9.561.653.168
133,200,0,192,,927.4,839.2,3,6.883.728.383.999.990
288,192,0,192,0,932,717.8,90,50.526.869.708
200,133,0,192,0,965.4,806.2,7,17.165.883.972
200,133,0,192,0,965.4,806.2,28,30.439.675.923.999.900
250.2,166.8,0,203.5,0,977.6,694.1,3,9.731.264.264
122.6,183.9,0,203.5,0,958.2,800.1,3,331.982.694
153,102,0,192,0,888,943.1,90,26.322.814.728
200,133,0,192,0,965.4,806.2,90,4.325.082.948
116,173,0,192,0,909.8,891.9,3,6.280.436.883.999.990
173,116,0,192,0,946.8,856.8,90,32.102.692.036
250.2,166.8,0,203.5,0,977.6,694.1,28,36.964.187.312
305.3,203.5,0,203.5,0,965.4,631,90,54.598.914.963.999.900
192,288,0,192,0,929.8,716.1,7,2.148.062.478
157,236,0,192,0,935.4,781.2,3,9.694.722.036
153,102,0,192,0,888,943.1,7,8.374.375.495.999.990
141.3,212,0,203.5,,971.8,748.5,90,396.621.069
116,173,0,192,0,909.8,891.9,7,10.089.791.784
141.3,212,0,203.5,0,971.8,748.5,3,4.827.710.952
122.6,183.9,0,203.5,0,958.2,800.1,7,10.354.550.567.999.900
166.8,250.2,0,203.5,0,975.6,692.6,90,43.565.230.536
203.5,305.3,0,203.5,0,963.4,630,90,51.863.763.672
310,0,0,192,0,1012,830,3,1.185.209.244
310,0,0,192,0,1012,830,7,1.724.379.476
310,0,0,192,0,1012,830,28,27.827.251.359.999.900
310,0,0,192,0,1012,830,90,35.763.120.119.999.900
310,0,0,192,0,1012,830,120,3.870.028.788
331,0,0,192,0,1025,821,3,14.306.626.999.999.900
331,0,0,192,0,1025,821,7,1.743.684.804
331,0,0,192,0,1025,821,28,3.174.347.504
331,0,0,192,0,1025,821,90,3.791.428.524
331,0,0,192,0,1025,821,120,39.382.869.119.999.900
349,0,0,192,0,1056,809,3,1.587.173.752
349,0,0,192,0,1056,809,7,9.011.451.319.999.990
349,0,0,192,,1056,809,28,3.360.506.024
349,0,0,192,0,1056,809,90,4.065.839.972
349,0,0,192,0,1056,809,120,4.085.834.776
238,0,0,186,0,1119,789,7,12.052.040.479.999.900
238,0,0,186,0,1119,789,28,1.754.026.944
296,0,0,186,0,1090,769,7,1.891.232.668
296,0,0,186,,1090,769,28,2.517.966.352
297,0,0,186,0,1040,734,7,309.574.724
480,0,0,192,0,936,721,28,43.892.042.159.999.900
480,0,0,192,,936,721,90,5.427.555.072
397,0,0,186,0,1040,734,28,3.693.522.932
281,0,0,186,0,1104,774,7,1.449.968.028
281,0,0,185,0,1104,774,28,22.435.549.039.999.900
500,0,0,200,0,1125,613,1,1.263.809.508
500,0,0,200,0,1125,613,3,260.621.928
500,0,0,200,0,1125,613,7,3.321.205.892
500,0,0,200,0,1125,613,14,3.693.522.932
500,0,0,200,0,1125,613,28,440.919.902
540,0,0,173,0,1125,613,7,5.261.391.356
540,0,0,173,0,1125,613,14,5.976.377.968
540,0,0,173,0,1125,613,28,6.730.664.712
540,0,0,173,,1125,613,90,6.965.776.027.999.990
540,0,0,173,0,1125,613,180,7.162.276.688
540,0,0,173,0,1125,613,270,7.416.693.332
350,0,0,203,,974,775,7,1.812.632.404
350,0,0,203,0,974,775,14,2.253.207.568
350,0,0,203,0,974,775,28,27.337.723.399.999.900
350,0,0,203,0,974,775,56,2.997.841.648
350,0,0,203,0,974,775,90,3.135.047.372
350,0,0,203,0,974,775,180,3.272.253.096
385,0,0,186,0,966,763,1,626.733.684
385,0,0,186,0,966,763,3,14.699.628.319.999.900
385,0,0,186,0,966,763,7,23.221.551.679.999.900
385,0,0,186,0,966,763,14,27.923.778
385,0,0,186,0,966,763,28,3.135.047.372
331,0,0,192,0,978,825,180,3.899.676.256
331,0,0,192,0,978,825,360,41.244.454.319.999.900
349,0,0,192,0,1047,806,3,1.498.920.824
331,0,0,192,0,978,825,3,1.352.062.436
382,0,0,186,,1047,739,7,2.400.065.956
382,0,0,186,0,1047,739,28,3.742.475.728
382,0,0,186,0,1111,784,7,1.146.598.588
281,0,0,186,0,1104,774,28,22.435.549.039.999.900
339,0,0,185,0,1069,754,7,21.160.018.439.999.900
339,0,0,185,0,1069,754,28,3.184.000.168
295,0,0,185,0,1069,769,7,14.796.154.959.999.900
295,0,0,185,0,1069,769,28,2.517.966.352
238,0,0,185,0,1118,789,28,1.754.026.944
296,0,0,192,0,1085,765,7,142.032.056
296,0,0,192,0,1085,765,28,216.495.464
296,0,0,192,0,1085,765,90,2.939.236.188
331,0,0,192,0,879,825,3,1.352.062.436
331,0,0,192,0,978,825,7,1.626.473.884
331,0,0,192,,978,825,28,3.144.700.036
331,0,0,192,0,978,825,90,37.231.704
349,0,0,192,0,1047,806,7,1.812.632.404
349,0,0,192,0,1047,806,28,3.272.253.096
349,0,0,192,0,1047,806,90,3.948.629.052
349,0,0,192,0,1047,806,180,4.105.140.104
349,0,0,192,0,1047,806,360,42.126.983.599.999.900
302,0,0,203,0,974,817,14,1.812.632.404
302,0,0,203,0,974,817,180,2.674.477.404
525,0,0,189,0,1125,613,180,61.921.839.559.999.900
500,0,0,200,0,1125,613,90,4.722.221.124
500,0,0,200,,1125,613,180,5.104.190.828
500,0,0,200,0,1125,613,270,5.515.808
540,0,0,173,0,1125,613,3,4.163.745.564
252,0,0,185,0,1111,784,7,1.371.367.764
252,0,0,185,0,1111,784,28,19.691.434.559.999.900
339,0,0,185,0,1060,754,28,316.469.484
393,0,0,192,0,940,758,3,1.910.537.996
393,0,0,192,0,940,758,28,3.958.281.716
393,0,0,192,0,940,758,90,4.879.421.652
382,0,0,185,0,1047,739,7,2.400.065.956
382,0,0,185,0,1047,739,28,3.742.475.728
252,0,0,186,0,1111,784,7,1.146.598.588
252,0,0,185,0,1111,784,28,19.691.434.559.999.900
310,0,0,192,,970,850,7,1.498.920.824
310,0,0,192,0,970,850,28,27.923.778
310,0,0,192,0,970,850,90,346.806.428
310,0,0,192,0,970,850,180,3.732.823.064
310,0,0,192,0,970,850,360,3.811.423.328
525,0,0,189,0,1125,613,3,3.379.811.352
525,0,0,189,0,1125,613,7,4.242.345.828
525,0,0,189,0,1125,613,14,48.401.215.199.999.900
525,0,0,189,,1125,613,28,5.594.408.264
525,0,0,189,0,1125,613,90,5.878.472.376
525,0,0,189,0,1125,613,270,6.711.359.384
322,0,0,203,0,974,800,14,2.077.391.188
322,0,0,203,0,974,800,28,2.517.966.352
322,0,0,203,0,974,800,180,2.958.541.516
302,0,0,203,0,974,817,28,217.529.678
397,0,0,185,0,1040,734,28,390.932.892
480,0,0,192,0,936,721,3,2.439.366.088
522,0,0,146,0,896,896,7,50.511.011.759.999.900
522,0,0,146,0,896,896,28,7.498.740.975.999.990
273,105,82,210,9,904,680,28,3.716.965.116
162,190,148,179,19,838,741,28,3.375.674.496
154,144,112,220,10,923,658,28,1.649.916.068
147,115,89,202,9,860,829,28,1.998.790.924
152,178,139,168,18,944,695,28,3.634.917.472
310,143,111,168,22,914,651,28,3.368.779.736
144,0,175,158,18,943,844,28,1.541.668.336
304,140,0,214,6,895,722,28,3.341.890.172
374,0,0,190,7,1013,730,28,3.905.192.064
159,149,116,175,15,953,720,28,2.767.556.664
153,239,0,200,6,1002,684,28,268.550.902
310,143,0,168,10,914,804,28,452.985.732
305,0,100,196,10,959,705,28,3.012.320.644
151,0,184,167,12,991,772,28,15.568.368.079.999.900
142,167,130,,11,883,785,28,446.090.972
298,137,107,201,6,878,655,28,5.352.402.188
321,164,0,190,5,870,774,28,5.721.271.848
366,187,0,191,7,824,757,28,6.590.701.084
280,129,100,172,9,825,805,28,5.282.075.636
252,97,76,194,8,835,821,28,33.398.217.439.999.900
165,0,150,182,12,1023,729,28,180.297.974
156,243,0,180,11,1022,698,28,3.736.270.444
160,188,146,203,11,829,710,28,3.283.974.188
298,0,107,186,6,879,815,28,4.263.719.584
318,0,126,210,6,861,737,28,400.585.556
287,121,94,188,9,904,696,28,41.940.825.079.999.900
326,166,0,174,9,882,790,28,61.232.363.559.999.900
356,0,142,193,11,801,778,28,40.865.242.519.999.900
132,207,161,179,5,867,736,28,33.301.690.799.999.900
322,149,0,186,8,951,709,28,5.242.086.028
164,0,200,181,13,849,846,28,1.508.573.488
314,0,113,170,10,925,783,28,3.845.897.128
321,0,128,182,11,870,780,28,3.725.928.304
140,164,128,237,6,869,656,28,35.225.328.839.999.900
288,121,0,177,7,908,829,28,4.213.387.836
298,0,107,,11,880,744,28,31.874.475.479.999.900
265,111,86,195,6,833,790,28,41.540.929
160,250,0,168,12,1049,688,28,3.945.181.672
166,260,0,183,13,859,827,28,3.791.428.524
276,116,90,180,9,870,768,28,4.427.814.872
322,0,116,196,10,818,813,28,3.117.810.472
149,139,109,193,6,892,780,28,2.369.039.536
159,187,0,176,11,990,789,28,32.763.899.519.999.900
261,100,78,201,9,864,761,28,3.239.847.724
